X,Y,AP001,AP002,AP003,AP004,AP005,AP006,AP007,AP008,AP010,AP011,AP014,AP017,AP019,AP021,AP023,AP024,AP029,AP030
17,5,-93.1875,-93.5,-63.44444444444444,-91.18181818181819,-89.79597260291192,-62.361111111111114,-63.94444444444444,-44.05555555555556,-90.26139956670872,-90.83279582198965,-91.32445978727709,-100.0,-98.0,-63.611111111111114,-78.44444444444444,-88.0,-72.05555555555556,-78.55555555555556
17,6,-94.375,-92.75,-64.96428571428571,-87.4,-89.82591983121728,-65.17857142857143,-68.21428571428571,-44.357142857142854,-90.25690691068564,-90.97318357184345,-90.84561980769156,-94.0,-92.81981803310202,-68.21428571428571,-80.64285714285714,-96.0,-74.92857142857143,-77.5
17,7,-91.4,-89.6,-60.964285714285715,-84.55555555555556,-83.0,-55.142857142857146,-57.5,-52.57142857142857,-81.0,-89.78865417285347,-89.0,-91.22222222222223,-92.0,-64.0,-74.0,-95.0,-68.35714285714286,-75.57142857142857
17,8,-88.53405283963771,-94.0,-49.035714285714285,-88.625,-89.11000686580215,-47.892857142857146,-47.785714285714285,-54.714285714285715,-90.0,-87.37942047269979,-86.0,-88.0,-88.33333333333333,-74.71428571428571,-75.57142857142857,-88.3,-81.64285714285714,-72.28571428571429
17,9,-65.375,-65.29166666666667,-50.76923076923077,-77.3076923076923,-84.77777777777777,-48.46153846153846,-49.07692307692308,-69.6,-83.88888888888889,-86.0,-83.15384615384616,-78.0,-75.3076923076923,-80.46153846153847,-71.0,-74.83333333333333,-60.666666666666664,-70.33333333333333
17,10,-72.46153846153847,-70.76923076923077,-49.53846153846154,-71.0,-88.0,-49.46153846153846,-49.30769230769231,-72.38461538461539,-88.92307692307692,-90.33333333333333,-72.22222222222223,-82.61538461538461,-83.46153846153847,-80.46153846153847,-66.6,-77.07692307692308,-51.44444444444444,-73.53846153846153
17,11,-66.23076923076923,-65.88461538461539,-49.53846153846154,-73.61538461538461,-88.63636363636364,-48.53846153846154,-48.53846153846154,-71.5,-92.4,-92.0,-75.44444444444444,-74.6923076923077,-74.46153846153847,-77.84615384615384,-77.61538461538461,-73.07692307692308,-52.888888888888886,-74.0
17,12,-69.07692307692308,-68.11538461538461,-53.84615384615385,-73.53846153846153,-84.4,-54.23076923076923,-53.07692307692308,-68.54545454545455,-86.4,-84.77777777777777,-75.88888888888889,-74.81818181818181,-73.0909090909091,-82.53846153846153,-76.84615384615384,-72.36363636363636,-57.55555555555556,-75.9090909090909
17,13,-84.5,-85.375,-41.03846153846154,-67.8076923076923,-87.2,-41.0,-39.0,-66.15384615384616,-82.0,-83.8,-88.0,-85.0909090909091,-90.2,-74.53846153846153,-76.28571428571429,-87.54545454545455,-70.92307692307692,-79.42857142857143
17,14,-77.4090909090909,-75.0909090909091,-52.42307692307692,-66.84615384615384,-90.0,-48.30769230769231,-46.84615384615385,-68.92307692307692,-88.2,-86.0,-93.0,-93.2,-89.5,-78.3076923076923,-78.42857142857143,-92.4,-77.15384615384616,-81.15384615384616
17,15,-80.95833333333333,-80.79166666666667,-44.84615384615385,-75.26923076923077,-84.8,-48.23076923076923,-46.61538461538461,-71.07692307692308,-87.0,-91.0,-90.0,-82.42857142857143,-90.0,-83.0,-75.0909090909091,-90.0,-81.46153846153847,-76.23076923076923
17,16,-81.11538461538461,-79.91666666666667,-48.61538461538461,-72.38461538461539,-84.0,-48.15384615384615,-46.69230769230769,-73.15384615384616,-86.5,-83.6,-95.2,-90.8,-85.66666666666667,-82.07692307692308,-77.76923076923077,-87.9090909090909,-78.0,-77.23076923076923
17,17,-78.28571428571429,-80.08333333333333,-49.458333333333336,-63.42857142857143,-85.2,-55.07142857142857,-52.357142857142854,-72.71428571428571,-81.0,-86.0,-82.0,-85.7,-85.3,-81.76923076923077,-81.83333333333333,-86.0,-86.18181818181819,-80.33333333333333
